token,type,score,cummulative percentage,english
lehajt,VERB,11,68.95,"**HAJT**1 - (transitive) to fold, to bend####1 - (transitive) to herd, to drive (animals)##2 - (transitive) to move, to drive, to propel, to impel (e.g. a machine)##3 - (transitive) to drive someone or an animal hard##4 - (intransitive) to slave away, work hard flat out, grind, graft, toil##5 - (transitive, figurative) to drive, pique (e.g. of curiosity)##6 - (transitive) to beat (game in hunting)##7 - (transitive) to drive (a cart, carriage or a modern car)##8 - (transitive) to repeat over and over##9 - (ambitransitive) to purge (laxative)####1 - (ambitransitive) to sprout, to shoot##2 - (transitive) to yield, bring (profit)"
sápadt,ADJ,11,68.98,1 - pale
rak,VERB,11,69.0,"1 - (transitive) to put, set"
majom,NOUN,11,69.03,"1 - ape, monkey"
vékony,ADJ,11,69.05,"1 - thin, narrow (having a small diameter or thickness)##2 - (of a person's build) thin, slender, slim##3 - (folksy, of liquid) thin, watery##4 - (of voice) thin, high-pitched"
házikó,NOUN,11,69.08,"1 - cottage, cabin (a small house)"
bereteszel,VERB,11,69.1
kő,NOUN,11,69.13,1 - stone
dobog,VERB,11,69.15,"1 - (intransitive) to stamp (one's foot), resound (e.g. of planks)##2 - (intransitive, of the heart) to throb, beat, pound, palpitate"
álló,ADJ,11,69.18,"1 - standing, upright, erect##2 - portrait-format (oriented so that the vertical sides are longer than the horizontal sides)##3 - (after egész; before nap, sometimes év or esztendő) Emphasizes the length of a period of time.##4 - (typography) Roman (upright, as opposed to oblique or italic)##5 - (in compounds) resistant, -proof"
hó,NOUN,11,69.2,1 - snow####1 - (archaic or formal) synonym of hónap (“month”)
zsíros,ADJ,11,69.23,"1 - fat, fatty (containing fat/lard)##2 - (of hair, skin) oily##3 - (by extension) rich, fat"
zár,VERB,11,69.25,"1 - (transitive) to close, shut, lock (often but not necessarily with a key)##2 - (transitive, typography) to align text (in a direction -ra/-re)##3 - (intransitive, ergative) to close"
kedves,ADJ,11,69.28,"1 - nice, kind, pleasant (having a pleasant character)##2 - dear (addressing somebody at the beginning of a letter)"
este,NOUN,11,69.3,1 - evening####1 - the fall (of someone or something)##2 - (poetic) the downfall (of someone or something)
következő,ADJ,11,69.33,"1 - next, following (nearest in place, position, order, or succession)##2 - next, following (nearest in time)##3 - following (about to be specified)"
várrom,NOUN,11,69.35,
hét,NOUN,11,69.38,1 - week
gyakorlat,NOUN,11,69.4,"1 - exercise (any activity designed to develop or hone a skill or ability)##2 - practice (repetition of an activity to improve a skill, in the abstract sense)##3 - practice (the ongoing pursuit of a craft or profession, particularly in medicine or the fine arts)##4 - practice (a customary action, habit, or behaviour; a manner or routine)##5 - practice (actual operation or experiment, in contrast to theory)"
árulás,NOUN,11,69.43,
közeledik,VERB,11,69.45,"1 - (intransitive) to near, approach, draw near, come closer, move toward something (to something: -hoz/-hez/-höz)"
menekül,VERB,11,69.47,"1 - (intransitive) to flee, fly, run away, escape"
megráz,VERB,11,69.5,"1 - (transitive) to shock, shake, jolt (to disturb emotionally)##2 - (transitive) to shock (to give an electric shock)##3 - (transitive) to shake (to cause something to move rapidly in opposite directions alternatingly)##4 - (transitive) to shake (to move one's head from side to side, especially to indicate a negative)"
vacsora,NOUN,11,69.52,"1 - dinner, supper (the last meal of the day, eaten in the late evening and not the main meal of the day)"
névsor,NOUN,11,69.55,"1 - list of names, roll"
megver,VERB,11,69.57,1 - (transitive) to beat (to win against)
jövő,NOUN,11,69.6,1 - future (the time ahead)
belép,VERB,11,69.62,"1 - (intransitive) to enter, to go (into something -ba/-be)##2 - (intransitive) to log in"
5.,ADJ,11,69.65,
megtörténik,VERB,11,69.67,"1 - (intransitive) to occur, to take place"
hazamegy,VERB,11,69.7,1 - (intransitive) to go home
felül,VERB,11,69.72,"1 - (intransitive) to sit up (to assume a sitting position from a position lying down)##2 - (intransitive) to get on, to mount, to bestride (to place oneself on something, as a horse or vehicle) (followed by -ra/-re)##3 - (intransitive) to be taken in, to fall for (to be deceived, to be fooled)"
második,ADJ,11,69.75,
jelenik,VERB,11,69.77,1 - (intransitive) only used in megjelenik (“to appear”)
tartalék,NOUN,11,69.8,"1 - reserve (that which is reserved, or kept back, as for future use)"
birodalom,NOUN,11,69.82,"1 - empire, realm"
bejegyzés,NOUN,11,69.85,"1 - verbal noun of bejegyez##2 - registry, entry (a record made in a log, diary or anything similarly organized)##3 - registry, entry (a record made in a log, diary or anything similarly organized)#(social media) post"
muzsika,NOUN,10,69.87,"1 - (dated, slightly informal) music"
tekintet,NOUN,10,69.89,"1 - look, glance, gaze (expression in/of the eyes)##2 - aspect, respect, regard, relation, point of view##3 - (figuratively) respect, regard, consideration (given to something: -ra/-re; especially in the phrases tekintettel and tekintet nélkül)##4 - (often with -vel) consideration, respect (the tendency to consider others; for or towards someone or something: -ra/-re)"
tavaszi,ADJ,10,69.92,"1 - spring, springtime, vernal (related to spring)"
végez,VERB,10,69.94,"1 - (intransitive) to finish, to end, to complete (used with -val/-vel)##2 - (ambitransitive) to finish, to graduate (from school, course etc.)##3 - (transitive, often with null object) to end up in the specified way or at the specified place##4 - (transitive) to do, to perform (some work or activity)"
hamar,ADV,10,69.96,"1 - soon (within a short time)##2 - readily, easily##3 - (dated) quickly, rapidly, fast##4 - (rare) early"
csuk,VERB,10,69.98,"1 - (transitive) to shut, close (without using a key and a lock, only with a handle)"
elolvas,VERB,10,70.01,"1 - (transitive) to peruse, read through, read over (to read completely)"
ballag,VERB,10,70.03,"1 - (intransitive) to walk slowly##2 - (intransitive) to have one’s farewell (graduation) ceremony (at the end of the last year, saying goodbye to the school by visiting the classrooms and the surrounding area in groups, singing traditional songs)"
mondogat,VERB,10,70.05,"1 - (transitive) to say repeatedly, keep saying, repeat"
mozdulat,NOUN,10,70.07,"1 - movement, move, gesture, motion"
hátranéz,VERB,10,70.1,1 - (intransitive) to look back (to turn around and glance back)
keserűség,NOUN,10,70.12,1 - (literally) bitterness (bitter taste)##2 - (figuratively) bitterness (bitter feeling)
befordul,VERB,10,70.14,1 - (intransitive) to turn (followed by lative suffixes) (to change direction and enter a relatively narrower or closed place)##2 - (intransitive) to roll over (to turn in bed towards the wall before falling asleep)##3 - (intransitive) to roll into (followed by -ba/-be) (to fall into something and tip over)
odaér,VERB,10,70.16,"1 - (intransitive) to reach, arrive, or get there (a given point)"
használ,VERB,10,70.19,"1 - (transitive) to use (make use, employ, apply, utilize)##2 - (intransitive) to benefit, to provide a benefit (to someone/something: -nak/-nek)##3 - (intransitive, of medication) to take effect, work, help (for someone: -nak/-nek)"
pöfög,VERB,10,70.21
valahol,ADV,10,70.23,1 - somewhere
kinevez,VERB,10,70.26,"1 - (transitive) to appoint, to nominate, to promote, to name (to designate for a role; for something: -vá/-vé)"
óvatos,ADJ,10,70.28,"1 - cautious, careful"
szerény,ADJ,10,70.3,1 - modest
éles,ADJ,10,70.32,1 - sharp (able to cut easily)
táncol,VERB,10,70.35,1 - (ambitransitive) to dance
úgyis,ADV,10,70.37,
jöhet,VERB,10,70.39,1 - potential form of jön
délután,NOUN,10,70.41,1 - afternoon
otthon,ADV,10,70.44,1 - at home##2 - construed with van and -ban/-ben: to be familiar with some field
isten,NOUN,10,70.46,"1 - god, deity (especially when referenced in popular culture, as opposed to religious context)"
sötét,NOUN,10,70.48,"1 - darkness, dark"
sás,NOUN,10,70.5,1 - sedge
veszt,VERB,10,70.53,"1 - (transitive, intransitive) alternative form of veszít##2 - (transitive, archaic, in phrases, mostly with vízbe (“into the water”)) to kill"
harag,NOUN,10,70.55,"1 - anger (a strong feeling of displeasure, hostility or antagonism towards someone or something)"
visszafojt,VERB,10,70.57,"**FOJT**1 - (transitive) to choke, stifle, strangle"
kimászik,VERB,10,70.59,**MÁSZIK**1 - (transitive) to climb##2 - (intransitive) to crawl
távcső,NOUN,10,70.62,1 - binoculars##2 - telescope
türelem,NOUN,10,70.64,1 - patience
önt,VERB,10,70.66,1 - (transitive) to pour##2 - (transitive) to cast (metal)
belekapaszkodik,VERB,10,70.68,**KAPASZKODIK**1 - (intransitive) to hold (onto something: -ba/-be; to grab something and cling onto it for physical support)
belát,VERB,10,70.71,"**LÁT**1 - (transitive) to see (to perceive with the eyes)##2 - (intransitive) to set about, embark on, set upon (to start doing or to devote oneself to some task; something: -hoz/-hez/-höz)"
tisztás,NOUN,10,70.73,"1 - clearing, glade, opening (a smaller grassy open space devoid of trees)"
visszatér,VERB,10,70.75,1 - (intransitive) to return (to somewhere lative suffixes)
futás,NOUN,10,70.78,"1 - verbal noun of fut: run, running, bolt, fleeing"
utcai,NOUN,10,70.8,
gyertek,VERB,10,70.82,1 - second-person plural subjunctive present indefinite of jön
megrág,VERB,10,70.84,**RÁG**1 - (transitive) to chew
b,NOUN,10,70.87,
szabályszerű,ADJ,10,70.89,"1 - regular, normal (according to the established rules and regulations)"
barack,NOUN,10,70.91,"1 - synonym of őszibarack (“peach”)##2 - synonym of sárgabarack (“apricot”)##3 - noogie (a gentle rap on the head of a child, with knuckles, either playfully or as a slight punishment, by a sudden rotation of the bent fingers of the hand)"
követ,VERB,10,70.93,"1 - (transitive) to follow (to go or come after in physical space)##2 - (social media, transitive) to follow (to subscribe to see content from an account on a social media platform)##3 - (obsolete) to claim, demand"
megenged,VERB,10,70.96,"1 - (transitive) to allow, to permit##2 - (transitive) to grant, concur, concede, allow (to agree with (someone) on (something); to accept (something) for the sake of argument; to admit to (someone) that (something) is true)##3 - construed with -hat/-het (potential suffix): (can) afford; see megengedhet"
kirohan,VERB,10,70.98,"**ROHAN**1 - (intransitive) to rush, to hurry##2 - (intransitive) to run, to sprint"
lehorgaszt,VERB,10,71.0
fegyvertáros,NOUN,10,71.02,
hős,NOUN,10,71.05,1 - hero##2 - synonym of főszereplő (“protagonist”)
katonás,ADJ,10,71.07,
kimond,VERB,10,71.09,"1 - (transitive) to utter, to pronounce, to express, to state, to voice"
megbocsát,VERB,10,71.11,"1 - (transitive) to forgive (someone -nak/-nek, for something -ért or -t/-ot/-at/-et/-öt)##2 - (intransitive, in imperative mood only) to forgive, excuse, sorry (said to introduce a polite apology, protest, reproach)"
bekiált,VERB,10,71.14,**KIÁLT**1 - (transitive) to shout (to give a single shout)
tüzel,VERB,10,71.16,"1 - (transitive) to inflame, excite##2 - (transitive) to heat (e.g. a stove)##3 - (intransitive, e.g. of body or face) to burn, to be burning, to be on fire##4 - (intransitive) to fire, shoot (a gun)##5 - (intransitive, of dogs) to be in heat"
hadosztály,NOUN,10,71.18,
gépház,NOUN,10,71.2,
nagykönyv,NOUN,10,71.23,
heccel,VERB,10,71.25
feleség,NOUN,10,71.27,1 - wife (a married woman)
díszokirat,NOUN,10,71.3,
bunsen-lámpa,NOUN,9,71.32,
folyik,VERB,9,71.34,1 - (intransitive) to flow##2 - (intransitive) to go on (to continue in extent)
összes,ADJ,9,71.36,
friss,ADJ,9,71.38,1 - fresh##2 - recent
szellő,NOUN,9,71.4,"1 - breeze, zephyr"
föl,ADV,9,71.42,1 - alternative form of fel
tintatartó,NOUN,9,71.44,1 - inkwell (container for ink)
irány,NOUN,9,71.46,"1 - direction, way##2 - (with possessive suffixes + -ban) towards"
odasúg,VERB,9,71.48,"**SÚG**1 - (transitive) to whisper##2 - (transitive, theater and television) to prompt (to tell an actor/person the words they should be saying)"
állat,NOUN,9,71.5,1 - animal####1 - accusative singular of áll
szorít,VERB,9,71.52,"1 - (transitive) to press, grip, clutch##2 - (transitive) to urge, force, compel (to act)##3 - (intransitive) to pinch (shoe), strangle (tight collar)"
oszlik,VERB,9,71.54,"1 - (intransitive) to be divided##2 - (intransitive) to disperse, dissipate##3 - (intransitive) to decompose"
hasít,VERB,9,71.56,"1 - (transitive) to cleave, split, rend"
drága,ADJ,9,71.58,"1 - expensive (having a high price or cost)##2 - precious, valuable (of high value or worth)##3 - costly (requiring great sacrifice, having grave consequences)##4 - dear"
törökmézes,NOUN,9,71.6,
közel,NOUN,9,71.62,"1 - (often with a possessive suffix, construed with -be or -ben) vicinity, the place near something"
asztal,NOUN,9,71.64,"1 - table, desk (in a flat, whether a living room or a kitchen, or in an office or that of a teacher)##2 - (graphical user interface) desktop (main graphical user interface of an operating system)"
holnap,NOUN,9,71.66,"1 - tomorrow, the next day"
veszekedés,NOUN,9,71.68,1 - quarrel (verbal dispute or heated argument)
süt,VERB,9,71.7,"1 - (transitive, intransitive) to bake, to roast##2 - (intransitive, of the sun) to shine"
látható,ADJ,9,71.72,1 - visible##2 - evident
gőzmozdony,NOUN,9,71.74,"1 - (rail transport, historical) steam locomotive (a locomotive, usually for use on a railway, that is powered by steam)"
játék,NOUN,9,71.76,"1 - toy (something to play with)##2 - game (playful or competitive activity)##3 - game (one’s manner, style, or performance in playing a game)##4 - play (activity for amusement only, especially among the young; similar activity in young animals, as they explore their environment and learn new skills; the conduct, or course, of a game; an individual’s performance in a sport or game)"
üveg,NOUN,9,71.78,1 - glass##2 - bottle
fiatalabbik,ADJ,9,71.8,
utolér,VERB,9,71.82,"1 - (transitive) to catch someone up, to catch up with someone"
továbbmegy,VERB,9,71.84
igazságtalanság,NOUN,9,71.86,1 - injustice
dohánypor,NOUN,9,71.89,
prüszköl,VERB,9,71.91
darabka,NOUN,9,71.93,
mered,VERB,9,71.95,"1 - (intransitive) to stand out, to project, to jut out (upwards or in some other direction)##2 - (intransitive) to stare, to gaze, to look fixedly####1 - second-person singular indicative present definite of mer"
lakó,NOUN,9,71.97,"1 - dweller, inhabitant, resident, tenant, occupant, denizen (someone or thing who lives in a place, chiefly in a building, apartment, or room, also metaphorically e.g. of a planet or another habitat)##2 - (rare) lodger, tenant, lessee, renter, rentee (one who rents property from another)"
kémény,NOUN,9,71.99,1 - chimney
ló,NOUN,9,72.01,1 - horse##2 - (chess) knight##3 - (gymnastics) pommel horse
tő,NOUN,9,72.03,"1 - (of plants) stem (plant), foot, stump (tree)##2 - (grammar) stem##3 - (of hair) root##4 - (mathematics) radix"
elmulaszt,VERB,9,72.05,"1 - (transitive) to miss (opportunity)##2 - (transitive) to neglect (duty), to fail to do something##3 - (transitive) to stop (pain)"
sétál,VERB,9,72.07,"1 - (intransitive) to walk, stroll (to wander on foot; to walk leisurely)"
fenn,ADV,9,72.09,1 - alternative form of fent
visszafordul,VERB,9,72.11,**FORDUL**1 - (intransitive) to turn
kapaszkodik,VERB,9,72.13,1 - (intransitive) to hold (onto something: -ba/-be; to grab something and cling onto it for physical support)
alacsony,ADJ,9,72.15,"1 - short (in stature), low"
gúnyos,ADJ,9,72.17,"1 - derisive, sarcastic, mocking (expressing or characterized by derision)"
utánoz,VERB,9,72.19,"1 - (transitive) to imitate, copy"
összecsap,VERB,9,72.21,**CSAP**1 - (transitive) to strike
hidegvér,NOUN,9,72.23,"1 - aplomb, composure, poise, sangfroid (self-possession or imperturbability especially when in a dangerous situation)"
pihenj,INTJ,9,72.25,
megindul,VERB,9,72.27,"**INDUL**1 - (intransitive) to set off, set out, head somewhere (begin a trip)##2 - (intransitive) to start (in the passive sense)##3 - (intransitive) to run (to be a candidate in an election)"
noteszkönyv,NOUN,9,72.29,
általános,ADJ,9,72.31,1 - general (not specific or particular)
igazán,ADV,9,72.33,1 - really (as an intensifier)
visel,VERB,9,72.35,"1 - (transitive, of clothing) to wear, have on (the object is in accusative case -t/-ot/-at/-et/-öt)##2 - (transitive, figuratively) to bear, endure, suffer##3 - (reflexively, as viseli magát, with definite conjugation, dated, formal) to behave, to handle oneself (well or badly)"
szokás,NOUN,9,72.37,1 - custom##2 - habit
ügy,NOUN,9,72.39,"1 - matter, affair, concern, transaction, case####1 - (obsolete) river, stream, creek, brook"
gyűlik,VERB,9,72.41,"1 - (intransitive) to gather, assemble##2 - (intransitive) to be accumulating, be piling up##3 - (intransitive) to fester"
jólesik,VERB,9,72.43
valamelyik,PRON,9,72.46,
kihúz,VERB,9,72.48,"1 - (transitive) to pull out (from somewhere -ból/-ből) (to remove something from a container)##2 - (transitive) to drag something (out of somewhere -ból/-ből)##3 - (transitive) to drag something (out of someone -ból/-ből) (to get information that someone is reluctant or unwilling to give through artful or devious means or by pleading or asking repeatedly)##4 - (transitive) to delete, to scratch, to cross out, to strike out, to strike through some text on a page##5 - (reflexively, as kihúzza magát, with definite conjugation) to straighten up, to square one’s shoulders (to sit up or stand straight, to stop hunching; to position one’s shoulders back and in a straight line forming a sort of square’s edge)"
birodalm,NOUN,9,72.5,
veszedelmes,ADJ,9,72.52,1 - dangerous
sietve,ADV,9,72.54,
megdobban,VERB,9,72.56,"**DOBBAN**1 - (intransitive) to thud, boom (to make a dull and deep sound)##2 - (intransitive, of the heart) to throb, pound (to give a strong thud)##3 - (intransitive, archaic, literary) to flump (to fall with a dull sound)"
akácfa,NOUN,9,72.58,
benéz,VERB,9,72.6,"1 - (intransitive) to look in (to take a glance from the outside to the inside) (into something -ba/-be, -n/-on/-en/-ön)##2 - (intransitive, colloquial) to stop by, drop by (to pay a visit briefly) (to someone -hoz/-hez/-höz)"
mászás,NOUN,9,72.62,
láthat,VERB,9,72.64,1 - potential form of lát
szorul,VERB,9,72.66,"1 - (intransitive) to be squeezed into something, to get forced into a narrow gap, jam, get wedged in (with lative suffixes)##2 - (intransitive) to stand in need of something (-ra/-re), require, want, be dependent on someone"
üveggolyó,NOUN,9,72.68,
zsebkendő,NOUN,9,72.7,"1 - handkerchief, kleenex"
hallgatózik,VERB,9,72.72
kidug,VERB,9,72.74,"**DUG**1 - (transitive) to stick, tuck, insert, push in (into something: -ba/-be)##2 - (transitive) to hide, conceal (into some place: lative suffixes)##3 - (ambitransitive, informal) to have sex"
hasadék,NOUN,9,72.76,"1 - fissure, rip, crevice, split, crack, opening##2 - (rare) cleft, abyss"
imént,ADV,9,72.78,"1 - (often construed with az) just (now), a short while ago, a little while ago, a moment ago"
lehajol,VERB,9,72.8,"**HAJOL**1 - (intransitive) to bend, lean (usually of a person, out of his or her own will)"
spárga,NOUN,9,72.82,"1 - twine, cord##2 - splits (in dancing and gymnastics)####1 - asparagus"
ijedős,ADJ,9,72.84,"1 - easily scared, skittish"
figyelem,NOUN,9,72.86,1 - attention (mental focus)
felejt,VERB,9,72.88,"1 - (transitive) to forget##2 - (transitive) to leave something unintentionally (somewhere or in some state), because of forgetting about it"
megmozdul,VERB,9,72.9,"**MOZDUL**1 - (intransitive) to move, budge"
gyertya,NOUN,9,72.92,"1 - candle (light source consisting of a wick embedded in wax, tallow or paraffin)##2 - shoulder stand (gymnastic pose in which the legs are pointed upwards with the body supported by the shoulders)##3 - spark plug (part of an internal combustion engine which ignites the fuel-air mixture)"
fegyvertár,NOUN,9,72.94,
meggyújt,VERB,9,72.96,1 - (transitive) to light (to start a fire)
elkiált,VERB,9,72.98,**KIÁLT**1 - (transitive) to shout (to give a single shout)
utána,PRON,9,73.0,
medence,NOUN,9,73.02,"1 - (geography) basin##2 - swimming pool (one particular pool, excluding the reception, changing rooms etc.)##3 - (anatomy) pelvis"
ordítás,NOUN,9,73.05,
becsap,VERB,9,73.07,"1 - (transitive) to slam, to bang (to shut with sudden force)##2 - (transitive) to swindle, to cheat, to deceive, to defraud, to fool, to trick##3 - (intransitive) synonym of belecsap (“to hit, to strike, to crash”) (of lightning) (something -ba/-be)##4 - (transitive, colloquial) to gulp down, to toss back (to drink very quickly)"
bíz,VERB,9,73.09,1 - (transitive) to entrust something (to someone: -ra/-re) (to designate as someone's task)
köteles,ADJ,9,73.11,"1 - obligatory, due##2 - having a rope"
szippant,VERB,9,73.13
papa,NOUN,9,73.15,"1 - dad##2 - (dialectal) granddad, grandfather"
tehet,VERB,9,73.17,1 - potential form of tesz
dug,VERB,9,73.19,"1 - (transitive) to stick, tuck, insert, push in (into something: -ba/-be)##2 - (transitive) to hide, conceal (into some place: lative suffixes)##3 - (ambitransitive, informal) to have sex"
szenved,VERB,9,73.21,"1 - (intransitive) to suffer (in general from something: -tól/-től, from a disease: -ban/-ben)##2 - (transitive) to sustain, undergo (some specified injury, accident, damage, loss, defeat, disadvantage, persecution etc.)"
jókedv,NOUN,9,73.23,"1 - cheerfulness, high spirits"
felragyog,VERB,9,73.25,"**RAGYOG**1 - (intransitive) to shine, glitter, glisten, sparkle##2 - (by extension) to beam, glow, shine with (-tól/-től)"
bába,NOUN,9,73.27,"1 - (folksy, dated) midwife##2 - (dialectal) old woman##3 - (dialectal, chiefly in certain phrases) witch"
érzés,NOUN,9,73.29,1 - sense (conscious awareness)##2 - feeling
lélek,NOUN,9,73.31,"1 - soul (spirit of a person thought to consist of one's thoughts and personality)##2 - soul (person, especially as one among many)##3 - sound post (wooden rod located inside the body of a violin-family instrument)"
ernő,NOUN,9,73.33,
hűl,VERB,9,73.35,"1 - (intransitive) to get cool, to grow cool"
kinevet,VERB,9,73.37,**NEVET**1 - (ambitransitive) to laugh (at something or someone -n/-on/-en/-ön)
idegen,NOUN,9,73.39,"1 - stranger##2 - foreigner, alien####1 - superessive singular of ideg"
kém,NOUN,9,73.41,"1 - (rare, poetic, archaic, now only in derivations and some compounds) spotter, watcher, scout (a person who [secretly] watches someone or ferrets something out)##2 - spy"
beír,VERB,9,73.43,"1 - (transitive) to write in##2 - (geometry) to inscribe##3 - (computing) to enter (data, information)"
farkasszem,NOUN,9,73.45,
bántsátok,VERB,9,73.47
megismétel,VERB,9,73.49,1 - (transitive) to repeat (to do again)
bolond,NOUN,9,73.51,"1 - madman, lunatic##2 - fool, idiot##3 - (in compounds or with a possessive suffix) mad, crazy (about the specified thing)##4 - jester##5 - (chess, obsolete) synonym of futó (“bishop”)"
ajándék,NOUN,9,73.53,"1 - present, gift, donation"
elmehet,VERB,9,73.55,**MEHET**1 - potential form of megy
kezdőbetű,NOUN,9,73.57,
kifogás,NOUN,9,73.59,"1 - verbal noun of kifog: catching, taking out (the act of taking out someone or something from somewhere)##2 - untacking, unharnessing, unhitching (the act of removing the harness from a draft animal and disconnecting it from a cart)##3 - objection##4 - excuse, pretext"
történt,NOUN,9,73.62,
békül,VERB,9,73.64,"1 - (intransitive) to make peace, to make up (with someone -val/-vel)"
térkép,NOUN,9,73.66,1 - map (visual representation of an area)
előrohan,VERB,9,73.68,"**ROHAN**1 - (intransitive) to rush, to hurry##2 - (intransitive) to run, to sprint"
lovagol,VERB,9,73.7,"1 - (intransitive) to ride a horse##2 - (intransitive, with -n/-on/-en/-ön) to harp on (to repeatedly mention a subject, especially so as to nag or complain)"
megfordul,VERB,9,73.72,1 - (intransitive) to turn round (to turn so as to be facing in the opposite direction)
tanács,NOUN,9,73.74,"1 - advice, counsel##2 - council"
szav,NOUN,9,73.76,
olyan,PRON,9,73.78,
cím,NOUN,9,73.8,"1 - address (direction or superscription of a letter, or the name, title, and place of residence of the person addressed)##2 - title (the name of a book, film, musical piece, painting, or other work of art)"
harmadik,ADJ,9,73.82,
te,PRON,9,73.84,
csirkefogó,NOUN,9,73.86,
parancsnok,NOUN,9,73.88,1 - commander
lenget,VERB,9,73.9,"1 - (transitive) causative of leng: to swing, wave, flutter, sway, flourish, flap"
fújd,VERB,9,73.92,1 - second-person singular subjunctive present definite of fúj
vörös,NOUN,9,73.94,1 - red (often specifically a darker red than piros)
diadalordítás,NOUN,9,73.96,
elesik,VERB,9,73.98,"1 - (intransitive, of a person or animal) to fall down, to fall (to lose one's balance and fall to the ground)##2 - (intransitive) to fall, to die, to be killed in action, to be killed (in the war or battle)##3 - (intransitive, of a city, castle, country) to fall, to collapse (to become overthrown or defeated, to be taken by the enemy)##4 - (intransitive, figuratively, with -tól/-től) to become ineligible (to lose financial support or some other expected thing)"
kavarog,VERB,9,74.0
föltápászkodik,VERB,9,74.02
házmester,NOUN,9,74.04,
s.,NOUN,9,74.06,
megrovás,NOUN,9,74.08,
tied,DET,9,74.1,
trará,INTJ,9,74.12,
csík,NOUN,8,74.14,"1 - stripe, band####1 - loach (a bottom-feeding freshwater fish in the superfamily or suborder Cobitoidea)##2 - long, flat ribbons of pasta, similar to fettuccine"
zongora-verkli,NOUN,8,74.16,
gyönyörű,ADJ,8,74.18,"1 - beautiful##2 - (sarcastic) nice, beautiful, wonderful"
víg,ADJ,8,74.2,"1 - (literary) joyful, happy"
szelíd,ADJ,8,74.21,"1 - (of a person or gesture) gentle, meek, empathic, soft (expressing gentleness or tenderness; mild, conciliatory, courteous, kind)##2 - (of an animal) tame"
tanári,ADJ,8,74.23,"1 - professorial, teaching, teacher's (of or relating to teachers)"
kihajol,VERB,8,74.25,"**HAJOL**1 - (intransitive) to bend, lean (usually of a person, out of his or her own will)"
gombóc,NOUN,8,74.27,"1 - dumpling (round), ball (meat)##2 - scoop (of ice-cream)"
elnökválasztás,NOUN,8,74.29,1 - presidential election
utolsó,NOUN,8,74.3,
lecke,NOUN,8,74.32,"1 - homework, lesson (a learning task assigned to a student)##2 - lesson (a section of learning or teaching into which a wider learning content is divided)##3 - (archaic) class, period (a lesson covering a single subject; a division into which a school day is split, allocated to a given subject or activity)##4 - lesson (something that serves as a warning or encouragement)##5 - scolding, lecture, berating, reproval, sermon"
honnan,ADV,8,74.34,"1 - from where, whence (from which place or source)##2 - how (by what means)"
verseny,NOUN,8,74.36,"1 - race, contest, competition##2 - (music, in compounds with a musical instrument) synonym of versenymű (“concerto”):"
künn,ADV,8,74.38,
rab,NOUN,8,74.4,"1 - captive, prisoner"
támolyog,VERB,8,74.41,"1 - (intransitive) to reel, stagger (to walk slowly, shakily or unsteadily; to move as if drunk, exhausted, or not in control of oneself)"
alkuod,VERB,8,74.43
szegény,NOUN,8,74.45,"1 - a poor person##2 - (plural only) the poor (those who have little or no possessions or money, taken as a group)"
nyer,VERB,8,74.47,1 - (ambitransitive) to win##2 - (transitive) gain (acquire possession or advantage)
hadonászik,VERB,8,74.49
vágd,VERB,8,74.5,1 - second-person singular subjunctive present definite of vág
szívesen,ADV,8,74.52,"1 - heartily, gladly, happily, with pleasure"
harciasság,NOUN,8,74.54,
hátul,ADV,8,74.56,"1 - at the back, in/at the rear, behind"
lév,NOUN,8,74.58,
siker,NOUN,8,74.59,1 - success
vigyorogva,ADV,8,74.61,
óriási,ADJ,8,74.63,"1 - gigantic, huge##2 - (colloquial) great (very good; sometimes with irony)"
válik,VERB,8,74.65,"1 - (intransitive) to become, to turn or turn into (something -vá/-vé or -ra/-re with valóra)##2 - (intransitive) to become, to make, to come to (out of someone -ból/-ből)##3 - (intransitive, mostly in set phrases: becsületére, büszkeségére, dicséretére, díszére, egészségére, hasznára, javára, üdvösségére, szégyenére, kárára) to cause, boost, heighten, improve, enhance, or contribute to a certain state or quality of someone, to induce or bring about something, to serve as something for someone (-ra/-re)##4 - (intransitive) to separate, to part (from something -tól/-től)##5 - (intransitive) to divorce (to legally dissolve a marriage between two people) (from someone -tól/-től)"
hadüzenet,NOUN,8,74.67,1 - declaration of war
hatás,NOUN,8,74.68,1 - effect
méta,NOUN,8,74.7,"1 - A traditional Hungarian ball game played outdoors with bats between a batting and a fielding team, somewhat similar to baseball."
soha,ADV,8,74.72,1 - never
hazafelé,ADV,8,74.74,"1 - homeward, homewards (towards home)"
hegy,NOUN,8,74.76,"1 - mountain##2 - point (of pencil, knife), tip (of finger, tongue, nose)"
végtelenség,NOUN,8,74.78,1 - infinity
tiszta,ADJ,8,74.79,"1 - clean, neat, spotless, stainless##2 - cleanly (person)##3 - clear, plain, straightforward##4 - clear, bright, sunny##5 - pure, unadulterated##6 - net, clear##7 - sheer, downright, complete, utter, total, perfect"
higgyétek,VERB,8,74.81,1 - second-person plural subjunctive present definite of hisz
